"DateTime","Actual","Seasonally_adjusted"
"2008-06-01",142413,208460
"2008-07-01",175738,206260
"2008-08-01",162485,204390
"2008-09-01",157704,192270
"2008-10-01",173938,195860
"2008-11-01",219313,200440
"2008-12-01",322207,203390
"2009-01-01",244030,193880
"2009-02-01",256559,204660
"2009-03-01",226461,203060
"2009-04-01",195883,207020
"2009-05-01",141916,208060
"2009-06-01",135162,198260
"2009-07-01",176198,207390
"2009-08-01",161100,202390
"2009-09-01",172425,209150
"2009-10-01",187372,210430
"2009-11-01",219939,203830
"2009-12-01",341337,210490
"2010-01-01",256652,209810
"2010-02-01",267855,208800
"2010-03-01",243263,210400
"2010-04-01",187962,207320
"2010-05-01",141336,209490
"2010-06-01",145825,213400
"2010-07-01",182904,215530
"2010-08-01",168081,209900
"2010-09-01",174157,209170
"2010-10-01",184898,208550
"2010-11-01",226455,212110
"2010-12-01",345656,210430
"2011-01-01",265553,217860
"2011-02-01",268259,210960
"2011-03-01",215553,194560
"2011-04-01",197777,207900
"2011-05-01",140741,209660
"2011-06-01",131269,187250
"2011-07-01",176084,212600
"2011-08-01",175909,220340
"2011-09-01",219940,262520
"2011-10-01",215902,246670
"2011-11-01",230292,215700
"2011-12-01",364165,219060
"2012-01-01",266839,213150
"2012-02-01",259083,204240
"2012-03-01",239929,210830
"2012-04-01",195668,209910
"2012-05-01",140841,209350
"2012-06-01",151074,216430
"2012-07-01",173539,211500
"2012-08-01",178298,220530
"2012-09-01",179069,214360
"2012-10-01",184200,214130
"2012-11-01",232119,214220
"2012-12-01",363959,220590
"2013-01-01",260637,214400
"2013-02-01",281233,219900
"2013-03-01",270740,225100
"2013-04-01",200583,228040
"2013-05-01",153034,226340
"2013-06-01",159485,225450
"2013-07-01",183718,229830
"2013-08-01",189284,234150
"2013-09-01",191056,231820
"2013-10-01",194973,226080
"2013-11-01",251060,230760
"2013-12-01",381892,232500
"2014-01-01",292446,237210
"2014-02-01",301165,237120
"2014-03-01",253561,228110
"2014-04-01",224194,233290
"2014-05-01",161355,235860
"2014-06-01",162122,237200
"2014-07-01",196856,239860
"2014-08-01",188849,236910
"2014-09-01",193329,236910
"2014-10-01",210597,244770
"2014-11-01",270408,245880
"2014-12-01",402518,248300
"2015-01-01",302432,246190
"2015-02-01",343457,265010
"2015-03-01",291784,251910
"2015-04-01",237966,255350
"2015-05-01",176697,256820
"2015-06-01",176961,260520
"2015-07-01",207984,254360
"2015-08-01",202879,260500
"2015-09-01",216984,267280
"2015-10-01",229379,265280
"2015-11-01",300521,272760
"2015-12-01",444883,273120
"2016-01-01",343446,279230
"2016-02-01",373376,278270
"2016-03-01",344387,284750
"2016-04-01",256685,285200
"2016-05-01",193643,282740
"2016-06-01",196223,284680
"2016-07-01",237872,294130
"2016-08-01",221181,290810
"2016-09-01",245089,299160
"2016-10-01",260246,303020
"2016-11-01",333598,301440
"2016-12-01",494193,301840
"2017-01-01",381068,306290
"2017-02-01",380034,297320
"2017-03-01",343799,304620
"2017-04-01",311866,319840
"2017-05-01",209170,306930
"2017-06-01",230088,334360
"2017-07-01",246945,307260
"2017-08-01",233991,306450
"2017-09-01",252746,309460
"2017-10-01",270515,315410
"2017-11-01",360136,322570
"2017-12-01",513349,314110
"2018-01-01",379228,313810
"2018-02-01",423456,323970
"2018-03-01",388327,318740
"2018-04-01",283910,314820
"2018-05-01",222079,322460
"2018-06-01",212245,311280
